return-date,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,customer-comments
2019-02-09T07:11:49+00:00,HM0731-Z-38,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-09T05:34:30+00:00,HM0742-2240,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,Running small. I would like to exchange for a bigger size.
2019-02-09T04:48:25+00:00,HM0722-B-39,1,MIA7,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-08T23:22:45+00:00,HM0505-1735/36,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-08T19:42:27+00:00,HM0722-H-40,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,Size is way too small
2019-02-08T19:18:53+00:00,HM0731-Z-39,1,LAS2,SELLABLE,APPAREL_STYLE,Reimbursed,
2019-02-08T07:13:23+00:00,HM0701-B-38,1,LAS2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-08T07:10:25+00:00,HM0701-H-39,1,SDF9,CUSTOMER_DAMAGED,APPAREL_TOO_LARGE,IMMEDIATE_DISPOSAL,
2019-02-08T07:10:25+00:00,HM0701-H-39,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-07T16:41:24+00:00,HM0722-B-40,1,RIC9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-07T12:32:36+00:00,HM0722-L-36,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-07T08:10:25+00:00,HM0731-Y-38,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-06T17:59:08+00:00,HM0738-137,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-06T10:00:44+00:00,HM0731-Z-39,1,LAS2,SELLABLE,MISORDERED,Unit returned to inventory,Do not fit & thought I was buying Havaianas
2019-02-06T03:42:48+00:00,HM0731-Z-42,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-05T22:28:04+00:00,HM0731-Y-35,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-05T21:38:27+00:00,HM0737-Z-38,1,LAS2,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-05T16:08:29+00:00,HM0722-B-38,1,MOB9,SELLABLE,MISORDERED,Unit returned to inventory,Do not fit.
2019-02-04T19:29:52+00:00,HM0731-Z-42,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-04T16:51:01+00:00,HM0722-B-39,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-02-03T21:13:04+00:00,HM0722-H-40,1,MIA7,SELLABLE,NOT_AS_DESCRIBED,Unit returned to inventory,They are hard as a rock
2019-02-03T16:25:29+00:00,HM0701-H-42,1,LEX2,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-03T07:13:32+00:00,HM0738-L-36,1,HIO9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,Ordered the same ones in size 4
2019-02-03T06:53:13+00:00,HM0701-2136,1,HIO9,SELLABLE,MISORDERED,Unit returned to inventory,
2019-02-02T07:34:49+00:00,HM0701-1140,1,HIO9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-02T07:34:16+00:00,HM0701-X-37,1,HIO9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,Ordered the same ones in size 4
2019-02-02T03:55:28+00:00,HM0719-1241,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-02T03:55:28+00:00,HM0719-1241,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-01T22:00:42+00:00,HM0742-0241,1,OKC9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,"A bit too thick and heavy, not as colorful as expected"
